Month,Place,Hour,Day,Crowd_level
January,Admission Cell,11,2,Low
January,Library,12,2,Medium
January,Cafeteria,12,2,High
January,Lab,12,2,Medium
January,Fee Counter,12,2,High
January,Bank,12,2,High
January,Admission Cell,12,2,Low
January,Library,13,2,Low
January,Cafeteria,13,2,High
January,Lab,13,2,Medium
January,Fee Counter,13,2,High
January,Bank,13,2,High
January,Admission Cell,13,2,Low
January,Library,14,2,Low
January,Cafeteria,14,2,High
January,Lab,14,2,Low
January,Fee Counter,14,2,High
January,Bank,14,2,High
January,Admission Cell,14,2,Low
January,Library,15,2,Low
January,Cafeteria,15,2,Medium
January,Lab,15,2,Low
January,Fee Counter,15,2,High
January,Bank,15,2,High
January,Admission Cell,15,2,Low
January,Library,16,2,Low
January,Cafeteria,16,2,Low
January,Lab,16,2,Low
January,Fee Counter,16,2,High
January,Bank,16,2,High
January,Admission Cell,16,2,Low
January,Library,17,2,Low
January,Cafeteria,17,2,Low
January,Lab,17,2,Low
January,Fee Counter,17,2,High
January,Bank,17,2,High
January,Admission Cell,17,2,Low
January,Library,9,3,Low
January,Cafeteria,9,3,Low
January,Lab,9,3,Medium
January,Fee Counter,9,3,High
January,Bank,9,3,High
January,Admission Cell,9,3,Low
January,Library,10,3,Low
January,Cafeteria,10,3,Medium
January,Lab,10,3,Medium
January,Fee Counter,10,3,High
January,Bank,10,3,High
January,Admission Cell,10,3,Low
January,Library,11,3,Medium
January,Cafeteria,11,3,Medium
January,Lab,11,3,Medium
January,Fee Counter,11,3,High
January,Bank,11,3,High
January,Admission Cell,11,3,Low
January,Library,12,3,Medium
January,Cafeteria,12,3,High
January,Lab,12,3,Medium
January,Fee Counter,12,3,High
January,Bank,12,3,High
January,Admission Cell,12,3,Low
January,Library,13,3,Low
January,Cafeteria,13,3,High
January,Lab,13,3,Medium
January,Fee Counter,13,3,High
January,Bank,13,3,High
January,Admission Cell,13,3,Low
January,Library,14,3,Low
January,Cafeteria,14,3,High
January,Lab,14,3,Low
January,Fee Counter,14,3,High
January,Bank,14,3,High
January,Admission Cell,14,3,Low
January,Library,15,3,Low
January,Cafeteria,15,3,Medium
January,Lab,15,3,Low
January,Fee Counter,15,3,High
January,Bank,15,3,High
January,Admission Cell,15,3,Low
January,Library,16,3,Low
January,Cafeteria,16,3,Low
January,Lab,16,3,Low
January,Fee Counter,16,3,High
January,Bank,16,3,High
January,Admission Cell,16,3,Low
January,Library,17,3,Low
January,Cafeteria,17,3,Low
January,Lab,17,3,Low
January,Fee Counter,17,3,High
January,Bank,17,3,High
January,Admission Cell,17,3,Low
January,Library,9,4,Low
January,Cafeteria,9,4,Low
January,Lab,9,4,Medium
January,Fee Counter,9,4,High
January,Bank,9,4,High
January,Admission Cell,9,4,Low
January,Library,10,4,Low
January,Cafeteria,10,4,Medium
January,Lab,10,4,Medium
January,Fee Counter,10,4,High
January,Bank,10,4,High
January,Admission Cell,10,4,Low
January,Library,11,4,Medium
January,Cafeteria,11,4,Medium
January,Lab,11,4,Medium
January,Fee Counter,11,4,High
January,Bank,11,4,High
January,Admission Cell,11,4,Low
January,Library,12,4,Medium
January,Cafeteria,12,4,High
January,Lab,12,4,Medium
January,Fee Counter,12,4,High
January,Bank,12,4,High
January,Admission Cell,12,4,Low
January,Library,13,4,Low
January,Cafeteria,13,4,High
January,Lab,13,4,Medium
January,Fee Counter,13,4,High
January,Bank,13,4,High
January,Admission Cell,13,4,Low
January,Library,14,4,Low
January,Cafeteria,14,4,High
January,Lab,14,4,Low
January,Fee Counter,14,4,High
January,Bank,14,4,High
January,Admission Cell,14,4,Low
January,Library,15,4,Low
January,Cafeteria,15,4,Medium
January,Lab,15,4,Low
January,Fee Counter,15,4,High
January,Bank,15,4,High
January,Admission Cell,15,4,Low
January,Library,16,4,Low
January,Cafeteria,16,4,Low
January,Lab,16,4,Low
January,Fee Counter,16,4,High
January,Bank,16,4,High
January,Admission Cell,16,4,Low
January,Library,17,4,Low
January,Cafeteria,17,4,Low
January,Lab,17,4,Low
January,Fee Counter,17,4,High
January,Bank,17,4,High
January,Admission Cell,17,4,Low
January,Library,9,5,Low
January,Cafeteria,9,5,Low
January,Lab,9,5,Medium
January,Fee Counter,9,5,High
January,Bank,9,5,High
January,Admission Cell,9,5,Low
January,Library,10,5,Low
January,Cafeteria,10,5,Medium
January,Lab,10,5,Medium
January,Fee Counter,10,5,High
January,Bank,10,5,High
January,Admission Cell,10,5,Low
January,Library,11,5,Medium
January,Cafeteria,11,5,Medium
January,Lab,11,5,Medium
January,Fee Counter,11,5,High
January,Bank,11,5,High
January,Admission Cell,11,5,Low
January,Library,12,5,Medium
January,Cafeteria,12,5,High
January,Lab,12,5,Medium
January,Fee Counter,12,5,High
January,Bank,12,5,High
January,Admission Cell,12,5,Low
January,Library,13,5,Low
January,Cafeteria,13,5,High
January,Lab,13,5,Medium
January,Fee Counter,13,5,High
January,Bank,13,5,High
January,Admission Cell,13,5,Low
January,Library,14,5,Low
January,Cafeteria,14,5,High
January,Lab,14,5,Low
January,Fee Counter,14,5,High
January,Bank,14,5,High
January,Admission Cell,14,5,Low
January,Library,15,5,Low
January,Cafeteria,15,5,Medium
January,Lab,15,5,Low
January,Fee Counter,15,5,High
January,Bank,15,5,High
January,Admission Cell,15,5,Low
January,Library,16,5,Low
January,Cafeteria,16,5,Low
January,Lab,16,5,Low
January,Fee Counter,16,5,High
January,Bank,16,5,High
January,Admission Cell,16,5,Low
January,Library,17,5,Low
January,Cafeteria,17,5,Low
January,Lab,17,5,Low
January,Fee Counter,17,5,High
January,Bank,17,5,High
January,Admission Cell,17,5,Low
January,Library,9,6,Low
January,Cafeteria,9,6,Low
January,Lab,9,6,Medium
January,Fee Counter,9,6,High
January,Bank,9,6,High
January,Admission Cell,9,6,Low
January,Library,10,6,Low
January,Cafeteria,10,6,Medium
January,Lab,10,6,Medium
January,Fee Counter,10,6,High
January,Bank,10,6,High
January,Admission Cell,10,6,Low
January,Library,11,6,Medium
January,Cafeteria,11,6,Medium
January,Lab,11,6,Medium
January,Fee Counter,11,6,High
January,Bank,11,6,High
January,Admission Cell,11,6,Low
January,Library,12,6,Medium
January,Cafeteria,12,6,High
January,Lab,12,6,Medium
January,Fee Counter,12,6,High
January,Bank,12,6,High
January,Admission Cell,12,6,Low
January,Library,13,6,Low
January,Cafeteria,13,6,High
January,Lab,13,6,Medium
January,Fee Counter,13,6,High
January,Bank,13,6,High
January,Admission Cell,13,6,Low
January,Library,14,6,Low
January,Cafeteria,14,6,High
January,Lab,14,6,Low
January,Fee Counter,14,6,High
January,Bank,14,6,High
January,Admission Cell,14,6,Low
January,Library,15,6,Low
January,Cafeteria,15,6,Medium
January,Lab,15,6,Low
January,Fee Counter,15,6,High
January,Bank,15,6,High
January,Admission Cell,15,6,Low
January,Library,16,6,Low
January,Cafeteria,16,6,Low
January,Lab,16,6,Low
January,Fee Counter,16,6,High
January,Bank,16,6,High
January,Admission Cell,16,6,Low
January,Library,17,6,Low
January,Cafeteria,17,6,Low
January,Lab,17,6,Low
January,Fee Counter,17,6,High
January,Bank,17,6,High
January,Admission Cell,17,6,Low
January,Library,9,7,Low
January,Cafeteria,9,7,Low
January,Lab,9,7,Medium
January,Fee Counter,9,7,High
January,Bank,9,7,High
January,Admission Cell,9,7,Low
January,Library,10,7,Low
January,Cafeteria,10,7,Medium
January,Lab,10,7,Medium
January,Fee Counter,10,7,High
January,Bank,10,7,High
January,Admission Cell,10,7,Low
January,Library,11,7,Medium
January,Cafeteria,11,7,Medium
January,Lab,11,7,Medium
January,Fee Counter,11,7,High
January,Bank,11,7,High
January,Admission Cell,11,7,Low
January,Library,12,7,Medium
January,Cafeteria,12,7,High
January,Lab,12,7,Medium
January,Fee Counter,12,7,High
January,Bank,12,7,High
January,Admission Cell,12,7,Low
January,Library,13,7,Low
January,Cafeteria,13,7,High
January,Lab,13,7,Medium
January,Fee Counter,13,7,High
January,Bank,13,7,High
January,Admission Cell,13,7,Low
January,Library,14,7,Low
January,Cafeteria,14,7,High
January,Lab,14,7,Low
January,Fee Counter,14,7,High
January,Bank,14,7,High
January,Admission Cell,14,7,Low
January,Library,15,7,Low
January,Cafeteria,15,7,Medium
January,Lab,15,7,Low
January,Fee Counter,15,7,High
January,Bank,15,7,High
January,Admission Cell,15,7,Low
January,Library,16,7,Low
January,Cafeteria,16,7,Low
January,Lab,16,7,Low
January,Fee Counter,16,7,High
January,Bank,16,7,High
January,Admission Cell,16,7,Low
January,Library,17,7,Low
January,Cafeteria,17,7,Low
January,Lab,17,7,Low
January,Fee Counter,17,7,High
January,Bank,17,7,High
January,Admission Cell,17,7,Low
January,Library,9,8,Low
January,Cafeteria,9,8,Low
January,Lab,9,8,Medium
January,Fee Counter,9,8,High
January,Bank,9,8,High
January,Admission Cell,9,8,Low
January,Library,10,8,Low
January,Cafeteria,10,8,Medium
January,Lab,10,8,Medium
January,Fee Counter,10,8,High
January,Bank,10,8,High
January,Admission Cell,10,8,Low
January,Library,11,8,Medium
January,Cafeteria,11,8,Medium
January,Lab,11,8,Medium
January,Fee Counter,11,8,High
January,Bank,11,8,High
January,Admission Cell,11,8,Low
January,Library,12,8,Medium
January,Cafeteria,12,8,High
January,Lab,12,8,Medium
January,Fee Counter,12,8,High
January,Bank,12,8,High
January,Admission Cell,12,8,Low
January,Library,13,8,Low
January,Cafeteria,13,8,High
January,Lab,13,8,Medium
January,Fee Counter,13,8,High
January,Bank,13,8,High
January,Admission Cell,13,8,Low
January,Library,14,8,Low
January,Cafeteria,14,8,High
January,Lab,14,8,Low
January,Fee Counter,14,8,High
January,Bank,14,8,High
January,Admission Cell,14,8,Low
January,Library,15,8,Low
January,Cafeteria,15,8,Medium
January,Lab,15,8,Low
January,Fee Counter,15,8,High
January,Bank,15,8,High
January,Admission Cell,15,8,Low
January,Library,16,8,Low
January,Cafeteria,16,8,Low
January,Lab,16,8,Low
January,Fee Counter,16,8,High
January,Bank,16,8,High
January,Admission Cell,16,8,Low
January,Library,17,8,Low
January,Cafeteria,17,8,Low
January,Lab,17,8,Low
January,Fee Counter,17,8,High
January,Bank,17,8,High
January,Admission Cell,17,8,Low
January,Library,9,9,Low
January,Cafeteria,9,9,Low
January,Lab,9,9,Medium
January,Fee Counter,9,9,High
January,Bank,9,9,High
January,Admission Cell,9,9,Low
January,Library,10,9,Low
January,Cafeteria,10,9,Medium
January,Lab,10,9,Medium
January,Fee Counter,10,9,High
January,Bank,10,9,High
January,Admission Cell,10,9,Low
January,Library,11,9,Medium
January,Cafeteria,11,9,Medium
January,Lab,11,9,Medium
January,Fee Counter,11,9,High
January,Bank,11,9,High
January,Admission Cell,11,9,Low
January,Library,12,9,Medium
January,Cafeteria,12,9,High
January,Lab,12,9,Medium
January,Fee Counter,12,9,High
January,Bank,12,9,High
January,Admission Cell,12,9,Low
January,Library,13,9,Low
January,Cafeteria,13,9,High
January,Lab,13,9,Medium
January,Fee Counter,13,9,High
January,Bank,13,9,High
January,Admission Cell,13,9,Low
January,Library,14,9,Low
January,Cafeteria,14,9,High
January,Lab,14,9,Low
January,Fee Counter,14,9,High
January,Bank,14,9,High
January,Admission Cell,14,9,Low
January,Library,15,9,Low
January,Cafeteria,15,9,Medium
January,Lab,15,9,Low
January,Fee Counter,15,9,High
January,Bank,15,9,High
January,Admission Cell,15,9,Low
January,Library,16,9,Low
January,Cafeteria,16,9,Low
January,Lab,16,9,Low
January,Fee Counter,16,9,High
January,Bank,16,9,High
January,Admission Cell,16,9,Low
January,Library,17,9,Low
January,Cafeteria,17,9,Low
January,Lab,17,9,Low
January,Fee Counter,17,9,High
January,Bank,17,9,High
January,Admission Cell,17,9,Low
January,Library,9,10,Low
January,Cafeteria,9,10,Low
January,Lab,9,10,Medium
January,Fee Counter,9,10,High
January,Bank,9,10,High
January,Admission Cell,9,10,Low
January,Library,10,10,Low
January,Cafeteria,10,10,Medium
January,Lab,10,10,Medium
January,Fee Counter,10,10,High
January,Bank,10,10,High
January,Admission Cell,10,10,Low
January,Library,11,10,Medium
January,Cafeteria,11,10,Medium
January,Lab,11,10,Medium
January,Fee Counter,11,10,High
January,Bank,11,10,High
January,Admission Cell,11,10,Low
January,Library,12,10,Medium
January,Cafeteria,12,10,High
January,Lab,12,10,Medium
January,Fee Counter,12,10,High
January,Bank,12,10,High
January,Admission Cell,12,10,Low
January,Library,13,10,Low
January,Cafeteria,13,10,High
January,Lab,13,10,Medium
January,Fee Counter,13,10,High
January,Bank,13,10,High
January,Admission Cell,13,10,Low
January,Library,14,10,Low
January,Cafeteria,14,10,High
January,Lab,14,10,Low
January,Fee Counter,14,10,High
January,Bank,14,10,High
January,Admission Cell,14,10,Low
January,Library,15,10,Low
January,Cafeteria,15,10,Medium
January,Lab,15,10,Low
January,Fee Counter,15,10,High
January,Bank,15,10,High
January,Admission Cell,15,10,Low
January,Library,16,10,Low
January,Cafeteria,16,10,Low
January,Lab,16,10,Low
January,Fee Counter,16,10,High
January,Bank,16,10,High
January,Admission Cell,16,10,Low
January,Library,17,10,Low
January,Cafeteria,17,10,Low
January,Lab,17,10,Low
January,Fee Counter,17,10,High
January,Bank,17,10,High
January,Admission Cell,17,10,Low
January,Library,9,11,Low
January,Cafeteria,9,11,Low
January,Lab,9,11,Medium
January,Fee Counter,9,11,High
January,Bank,9,11,High
January,Admission Cell,9,11,Low
January,Library,10,11,Low
January,Cafeteria,10,11,Medium
January,Lab,10,11,Medium
January,Fee Counter,10,11,High
January,Bank,10,11,High
January,Admission Cell,10,11,Low
January,Library,11,11,Medium
January,Cafeteria,11,11,Medium
January,Lab,11,11,Medium
January,Fee Counter,11,11,High
January,Bank,11,11,High
January,Admission Cell,11,11,Low
January,Library,12,11,Medium
January,Cafeteria,12,11,High
January,Lab,12,11,Medium
January,Fee Counter,12,11,High
January,Bank,12,11,High
January,Admission Cell,12,11,Low
January,Library,13,11,Low
January,Cafeteria,13,11,High
January,Lab,13,11,Medium
January,Fee Counter,13,11,High
January,Bank,13,11,High
January,Admission Cell,13,11,Low
January,Library,14,11,Low
January,Cafeteria,14,11,High
January,Lab,14,11,Low
January,Fee Counter,14,11,High
January,Bank,14,11,High
January,Admission Cell,14,11,Low
January,Library,15,11,Low
January,Cafeteria,15,11,Medium
January,Lab,15,11,Low
January,Fee Counter,15,11,High
January,Bank,15,11,High
January,Admission Cell,15,11,Low
January,Library,16,11,Low
January,Cafeteria,16,11,Low
January,Lab,16,11,Low
January,Fee Counter,16,11,High
January,Bank,16,11,High
January,Admission Cell,16,11,Low
January,Library,17,11,Low
January,Cafeteria,17,11,Low
January,Lab,17,11,Low
January,Fee Counter,17,11,High
January,Bank,17,11,High
January,Admission Cell,17,11,Low
January,Library,9,12,Low
January,Cafeteria,9,12,Low
January,Lab,9,12,Medium
January,Fee Counter,9,12,High
January,Bank,9,12,High
January,Admission Cell,9,12,Low
January,Library,10,12,Low
January,Cafeteria,10,12,Medium
January,Lab,10,12,Medium
January,Fee Counter,10,12,High
January,Bank,10,12,High
January,Admission Cell,10,12,Low
January,Library,11,12,Medium
January,Cafeteria,11,12,Medium
January,Lab,11,12,Medium
January,Fee Counter,11,12,High
January,Bank,11,12,High
January,Admission Cell,11,12,Low
January,Library,12,12,Medium
January,Cafeteria,12,12,High
January,Lab,12,12,Medium
January,Fee Counter,12,12,High
January,Bank,12,12,High
January,Admission Cell,12,12,Low
January,Library,13,12,Low
January,Cafeteria,13,12,High
January,Lab,13,12,Medium
January,Fee Counter,13,12,High
January,Bank,13,12,High
January,Admission Cell,13,12,Low
January,Library,14,12,Low
January,Cafeteria,14,12,High
January,Lab,14,12,Low
January,Fee Counter,14,12,High
January,Bank,14,12,High
January,Admission Cell,14,12,Low
January,Library,15,12,Low
January,Cafeteria,15,12,Medium
January,Lab,15,12,Low
January,Fee Counter,15,12,High
January,Bank,15,12,High
January,Admission Cell,15,12,Low
January,Library,16,12,Low
January,Cafeteria,16,12,Low
January,Lab,16,12,Low
January,Fee Counter,16,12,High
January,Bank,16,12,High
January,Admission Cell,16,12,Low
January,Library,17,12,Low
January,Cafeteria,17,12,Low
January,Lab,17,12,Low
January,Fee Counter,17,12,High
January,Bank,17,12,High
January,Admission Cell,17,12,Low
January,Library,9,13,Low
January,Cafeteria,9,13,Low
January,Lab,9,13,Medium
January,Fee Counter,9,13,High
January,Bank,9,13,High
January,Admission Cell,9,13,Low
January,Library,10,13,Low
January,Cafeteria,10,13,Medium
January,Lab,10,13,Medium
January,Fee Counter,10,13,High
January,Bank,10,13,High
January,Admission Cell,10,13,Low
January,Library,11,13,Medium
January,Cafeteria,11,13,Medium
January,Lab,11,13,Medium
January,Fee Counter,11,13,High
January,Bank,11,13,High
January,Admission Cell,11,13,Low
January,Library,12,13,Medium
January,Cafeteria,12,13,High
January,Lab,12,13,Medium
January,Fee Counter,12,13,High
January,Bank,12,13,High
January,Admission Cell,12,13,Low
January,Library,13,13,Low
January,Cafeteria,13,13,High
January,Lab,13,13,Medium
January,Fee Counter,13,13,High
January,Bank,13,13,High
January,Admission Cell,13,13,Low
January,Library,14,13,Low
January,Cafeteria,14,13,High
January,Lab,14,13,Low
January,Fee Counter,14,13,High
January,Bank,14,13,High
January,Admission Cell,14,13,Low
January,Library,15,13,Low
January,Cafeteria,15,13,Medium
January,Lab,15,13,Low
January,Fee Counter,15,13,High
January,Bank,15,13,High
January,Admission Cell,15,13,Low
January,Library,16,13,Low
January,Cafeteria,16,13,Low
January,Lab,16,13,Low
January,Fee Counter,16,13,High
January,Bank,16,13,High
January,Admission Cell,16,13,Low
January,Library,17,13,Low
January,Cafeteria,17,13,Low
January,Lab,17,13,Low
January,Fee Counter,17,13,High
January,Bank,17,13,High
January,Admission Cell,17,13,Low
January,Library,9,14,Low
January,Cafeteria,9,14,Low
January,Lab,9,14,Medium
January,Fee Counter,9,14,High
January,Bank,9,14,High
January,Admission Cell,9,14,Low
January,Library,10,14,Low
January,Cafeteria,10,14,Medium
January,Lab,10,14,Medium
January,Fee Counter,10,14,High
January,Bank,10,14,High
January,Admission Cell,10,14,Low
January,Library,11,14,Medium
January,Cafeteria,11,14,Medium
January,Lab,11,14,Medium
January,Fee Counter,11,14,High
January,Bank,11,14,High
January,Admission Cell,11,14,Low
January,Library,12,14,Medium
January,Cafeteria,12,14,High
January,Lab,12,14,Medium
January,Fee Counter,12,14,High
January,Bank,12,14,High
January,Admission Cell,12,14,Low
January,Library,13,14,Low
January,Cafeteria,13,14,High
January,Lab,13,14,Medium
January,Fee Counter,13,14,High
January,Bank,13,14,High
January,Admission Cell,13,14,Low
January,Library,14,14,Low
January,Cafeteria,14,14,High
January,Lab,14,14,Low
January,Fee Counter,14,14,High
January,Bank,14,14,High
January,Admission Cell,14,14,Low
January,Library,15,14,Low
January,Cafeteria,15,14,Medium
January,Lab,15,14,Low
January,Fee Counter,15,14,High
January,Bank,15,14,High
January,Admission Cell,15,14,Low
January,Library,16,14,Low
January,Cafeteria,16,14,Low
January,Lab,16,14,Low
January,Fee Counter,16,14,High
January,Bank,16,14,High
January,Admission Cell,16,14,Low
January,Library,17,14,Low
January,Cafeteria,17,14,Low
January,Lab,17,14,Low
January,Fee Counter,17,14,High
January,Bank,17,14,High
January,Admission Cell,17,14,Low
January,Library,9,15,Low
January,Cafeteria,9,15,Low
January,Lab,9,15,Medium
January,Fee Counter,9,15,High
January,Bank,9,15,High
January,Admission Cell,9,15,Low
January,Library,10,15,Low
January,Cafeteria,10,15,Medium
January,Lab,10,15,Medium
January,Fee Counter,10,15,High
January,Bank,10,15,High
January,Admission Cell,10,15,Low
January,Library,11,15,Medium
January,Cafeteria,11,15,Medium
January,Lab,11,15,Medium
January,Fee Counter,11,15,High
January,Bank,11,15,High
January,Admission Cell,11,15,Low
January,Library,12,15,Medium
January,Cafeteria,12,15,High
January,Lab,12,15,Medium
January,Fee Counter,12,15,High
January,Bank,12,15,High
January,Admission Cell,12,15,Low
January,Library,13,15,Low
January,Cafeteria,13,15,High
January,Lab,13,15,Medium
January,Fee Counter,13,15,High
January,Bank,13,15,High
January,Admission Cell,13,15,Low
January,Library,14,15,Low
January,Cafeteria,14,15,High
January,Lab,14,15,Low
January,Fee Counter,14,15,High
January,Bank,14,15,High
January,Admission Cell,14,15,Low
January,Library,15,15,Low
January,Cafeteria,15,15,Medium
January,Lab,15,15,Low
January,Fee Counter,15,15,High
January,Bank,15,15,High
January,Admission Cell,15,15,Low
January,Library,16,15,Low
January,Cafeteria,16,15,Low
January,Lab,16,15,Low
January,Fee Counter,16,15,High
January,Bank,16,15,High
January,Admission Cell,16,15,Low
January,Library,17,15,Low
January,Cafeteria,17,15,Low
January,Lab,17,15,Low
January,Fee Counter,17,15,High
January,Bank,17,15,High
January,Admission Cell,17,15,Low
January,Library,9,16,Low
January,Cafeteria,9,16,Low
January,Lab,9,16,Medium
January,Fee Counter,9,16,High
January,Bank,9,16,High
January,Admission Cell,9,16,Low
January,Library,10,16,Low
January,Cafeteria,10,16,Medium
January,Lab,10,16,Medium
January,Fee Counter,10,16,High
January,Bank,10,16,High
January,Admission Cell,10,16,Low
January,Library,11,16,Medium
January,Cafeteria,11,16,Medium
January,Lab,11,16,Medium
January,Fee Counter,11,16,High
January,Bank,11,16,High
January,Admission Cell,11,16,Low
January,Library,12,16,Medium
January,Cafeteria,12,16,High
January,Lab,12,16,Medium
January,Fee Counter,12,16,High
January,Bank,12,16,High
January,Admission Cell,12,16,Low
January,Library,13,16,Low
January,Cafeteria,13,16,High
January,Lab,13,16,Medium
January,Fee Counter,13,16,High
January,Bank,13,16,High
January,Admission Cell,13,16,Low
January,Library,14,16,Low
January,Cafeteria,14,16,High
January,Lab,14,16,Low
January,Fee Counter,14,16,High
January,Bank,14,16,High
January,Admission Cell,14,16,Low
January,Library,15,16,Low
January,Cafeteria,15,16,Medium
January,Lab,15,16,Low
January,Fee Counter,15,16,High
January,Bank,15,16,High
January,Admission Cell,15,16,Low
January,Library,16,16,Low
January,Cafeteria,16,16,Low
January,Lab,16,16,Low
January,Fee Counter,16,16,High
January,Bank,16,16,High
January,Admission Cell,16,16,Low
January,Library,17,16,Low
January,Cafeteria,17,16,Low
January,Lab,17,16,Low
January,Fee Counter,17,16,High
January,Bank,17,16,High
January,Admission Cell,17,16,Low
January,Library,9,17,Low
January,Cafeteria,9,17,Low
January,Lab,9,17,Medium
January,Fee Counter,9,17,High
January,Bank,9,17,High
January,Admission Cell,9,17,Low
January,Library,10,17,Low
January,Cafeteria,10,17,Medium
January,Lab,10,17,Medium
January,Fee Counter,10,17,High
January,Bank,10,17,High
January,Admission Cell,10,17,Low
January,Library,11,17,Medium
January,Cafeteria,11,17,Medium
January,Lab,11,17,Medium
January,Fee Counter,11,17,High
January,Bank,11,17,High
January,Admission Cell,11,17,Low
January,Library,12,17,Medium
January,Cafeteria,12,17,High
January,Lab,12,17,Medium
January,Fee Counter,12,17,High
January,Bank,12,17,High
January,Admission Cell,12,17,Low
January,Library,13,17,Low
January,Cafeteria,13,17,High
January,Lab,13,17,Medium
January,Fee Counter,13,17,High
January,Bank,13,17,High
January,Admission Cell,13,17,Low
January,Library,14,17,Low
January,Cafeteria,14,17,High
January,Lab,14,17,Low
January,Fee Counter,14,17,High
January,Bank,14,17,High
January,Admission Cell,14,17,Low
January,Library,15,17,Low
January,Cafeteria,15,17,Medium
January,Lab,15,17,Low
January,Fee Counter,15,17,High
January,Bank,15,17,High
January,Admission Cell,15,17,Low
January,Library,16,17,Low
January,Cafeteria,16,17,Low
January,Lab,16,17,Low
January,Fee Counter,16,17,High
January,Bank,16,17,High
January,Admission Cell,16,17,Low
January,Library,17,17,Low
January,Cafeteria,17,17,Low
January,Lab,17,17,Low
January,Fee Counter,17,17,High
January,Bank,17,17,High
January,Admission Cell,17,17,Low
January,Library,9,18,Low
January,Cafeteria,9,18,Low
January,Lab,9,18,Medium
January,Fee Counter,9,18,High
January,Bank,9,18,High
January,Admission Cell,9,18,Low
January,Library,10,18,Low
January,Cafeteria,10,18,Medium
January,Lab,10,18,Medium
January,Fee Counter,10,18,High
January,Bank,10,18,High
January,Admission Cell,10,18,Low
January,Library,11,18,Medium
January,Cafeteria,11,18,Medium
January,Lab,11,18,Medium
January,Fee Counter,11,18,High
January,Bank,11,18,High
January,Admission Cell,11,18,Low
January,Library,12,18,Medium
January,Cafeteria,12,18,High
January,Lab,12,18,Medium
January,Fee Counter,12,18,High
January,Bank,12,18,High
January,Admission Cell,12,18,Low
January,Library,13,18,Low
January,Cafeteria,13,18,High
January,Lab,13,18,Medium
January,Fee Counter,13,18,High
January,Bank,13,18,High
January,Admission Cell,13,18,Low
January,Library,14,18,Low
January,Cafeteria,14,18,High
January,Lab,14,18,Low
January,Fee Counter,14,18,High
January,Bank,14,18,High
January,Admission Cell,14,18,Low
January,Library,15,18,Low
January,Cafeteria,15,18,Medium
January,Lab,15,18,Low
January,Fee Counter,15,18,High
January,Bank,15,18,High
January,Admission Cell,15,18,Low
January,Library,16,18,Low
January,Cafeteria,16,18,Low
January,Lab,16,18,Low
January,Fee Counter,16,18,High
January,Bank,16,18,High
January,Admission Cell,16,18,Low
January,Library,17,18,Low
January,Cafeteria,17,18,Low
January,Lab,17,18,Low
January,Fee Counter,17,18,High
January,Bank,17,18,High
January,Admission Cell,17,18,Low
January,Library,9,19,Low
January,Cafeteria,9,19,Low
January,Lab,9,19,Medium
January,Fee Counter,9,19,High
January,Bank,9,19,High
January,Admission Cell,9,19,Low
January,Library,10,19,Low
January,Cafeteria,10,19,Medium
January,Lab,10,19,Medium
January,Fee Counter,10,19,High
January,Bank,10,19,High
January,Admission Cell,10,19,Low
January,Library,11,19,Medium
January,Cafeteria,11,19,Medium
January,Lab,11,19,Medium
